因为,37.62585923571967,neg,2,c
觉得,37.26930059312892,neg,2,v
如果,33.999066266721435,neg,2,c
丢,31.818172751254544,neg,1,zg
结果,30.72372333378447,neg,2,n
闭眼,29.83957196403771,neg,2,v
长时间,28.83014539292062,neg,3,l
快门,27.624542931114746,neg,2,d
半小时,27.61024481786789,neg,3,b
我会,26.04404247737689,neg,2,n
入,25.345690976318224,neg,1,v
小朋友,24.720927467539084,neg,3,n
肯定,24.653794122318875,neg,2,v
抢购,24.61584542148153,neg,2,v
自我感觉,24.387026730985653,neg,4,l
认真,23.925068184319315,neg,2,ad
骁龙,23.870741613613834,neg,2,i
立刻,23.708572474503722,neg,2,d
哈哈,23.21527973118659,neg,2,o
靓丽,22.82650011747348,neg,2,a
黑洞,22.236357758760327,neg,2,ns
图片,22.220114241478697,neg,2,n
竞争,22.18978565729347,neg,2,vn
飞,22.09618010071207,neg,1,n
开启,22.079683780815873,neg,2,v
激烈,22.052282133543535,neg,2,a
优惠券,21.98704245463351,neg,3,n
巨,21.913572545481486,neg,1,nr
有点,21.772674535521006,neg,2,n
口袋,21.609566358591383,neg,2,n
用得,21.440828272099516,neg,2,p
很妙,21.31531653937733,neg,2,a
脱颖而出,20.46731963282238,neg,4,i
P,20.259678832994943,neg,1,x
关心,20.244927211485933,neg,2,n
炸掉,19.86785756240611,neg,2,v
如出一辙,19.730354038656174,neg,4,i
扎堆,19.730354038656174,neg,2,ns
可想而知,19.730354038656174,neg,4,l
追逐,19.730354038656174,neg,2,v
请,19.587642520036624,neg,1,v
亮点,19.581005930147775,neg,2,n
它,19.54448005412266,neg,1,r
瞭解,19.408425943768812,neg,2,v
呲,19.145391537935016,neg,1,v
盼机,18.993388444489966,neg,2,v
犹豫,18.902008977907773,neg,2,a
可能,18.844897106872097,neg,2,v
今年,18.743256116233397,neg,2,t
iqooz3,18.730354038656174,neg,6,eng
几乎,18.4777016513495,neg,2,d
爱马仕,18.43489815513,neg,3,nr
赫兹,18.407918496179107,neg,2,nr
LV,18.14539153793502,neg,2,eng
全局,18.14539153793502,neg,2,n
操纵,18.14539153793502,neg,2,v
模式,18.01556194323485,neg,2,n
市场,18.014147004656763,neg,2,n
女生,18.00573312047942,neg,2,n
中端,17.975466536492704,neg,2,n
抢到,17.956827033030336,neg,2,v
s7,17.922999116598568,neg,2,eng
LPDDR,17.823463443047658,neg,5,eng
可爱,17.73300902359282,neg,2,v
在手,17.71028894709274,neg,2,v
合,17.642891197405834,neg,1,v
小哥,17.547999247095774,neg,2,n
不用说,17.531282691554345,neg,3,l
看看,17.4258126578845,neg,2,v
临其,17.408425943768812,neg,2,ns
很爽,17.321129559228893,neg,2,a
一塌糊涂,17.29739463138007,neg,4,i
控得,17.18286624335368,neg,2,v
mx,17.14539153793502,neg,2,eng
旅,17.145391537935016,neg,1,n
灵活,17.041054878120285,neg,2,a
关键,17.038986330447397,neg,2,n
机器运行,16.975466536492707,neg,4,n
兜兜,16.941858143849885,neg,2,n
边玩,16.92299911659857,neg,2,n
正在,16.890973549848436,neg,2,t
离谱,16.78693756702254,neg,2,n
光变,16.6979325609638,neg,2,n
