也,67.70608132640025,pos,1,d
电池,55.530562735402306,pos,2,n
系统,55.39079786768198,pos,2,n
手机,54.99025427650405,pos,2,n
大小,54.80758735972705,pos,2,b
还有,53.659924683774705,pos,2,v
好,51.61039999066293,pos,1,a
像,51.5409851066099,pos,1,v
可以,51.472792118841426,pos,2,c
整体,50.679295295638624,pos,2,n
使用,46.534139190912796,pos,2,v
不,45.60847898039606,pos,1,d
fps,45.10386450039057,pos,3,eng
语音,44.48018768164853,pos,2,n
各种,43.191747566055824,pos,2,r
购物,42.800818524763685,pos,2,n
感,42.2891275453847,pos,1,v
很,42.097665312279126,pos,1,zg
掉,41.781242367544934,pos,1,zg
性能,40.480471276894,pos,2,n
拍照,40.108166964126205,pos,2,v
下,39.24713297755557,pos,1,f
待机时间,39.19735954444785,pos,4,n
屏幕,38.91060992576964,pos,2,n
这个,38.095878167447324,pos,2,r
够,37.7479662813464,pos,1,zg
还,37.51264728348035,pos,1,d
是,37.2732638351401,pos,1,v
体验,37.03968378373011,pos,2,n
而且,36.8770809971794,pos,2,c
都,36.39173343899058,pos,1,d
电量,35.2287592305478,pos,2,n
持久,35.22383047195359,pos,2,a
不错,35.14413388704986,pos,2,a
超级,35.10684020656025,pos,2,b
配件,35.064035072963925,pos,2,n
功能,35.0536301155022,pos,2,n
快,34.5146771940469,pos,1,a
机子,34.47308827006623,pos,2,n
手电筒,34.43728909089108,pos,3,n
音质,34.4157160153014,pos,2,n
稳定,34.06152436823424,pos,2,a
低,34.0000652732552,pos,1,a
和,33.63719056817604,pos,1,c
清晰,33.33873493846517,pos,2,a
试用,33.28026745049719,pos,2,vn
比较,33.06889632379338,pos,2,d
契合,32.776209903040275,pos,2,v
强大,32.76484897822385,pos,2,a
芯片,32.70996727631793,pos,2,n
微热,32.5991780151037,pos,2,a
苹果,32.392857127576384,pos,2,n
老人,32.17964832455236,pos,2,n
相当,32.0633374268073,pos,2,d
报时,31.61456117243451,pos,2,n
保护,31.537467324290645,pos,2,v
续航,31.350875630621477,pos,2,nr
质感,31.27519861656617,pos,2,n
赞,31.252485890776356,pos,1,v
其他,31.14073494290018,pos,2,r
哦,31.114395469886972,pos,1,zg
卡顿,30.856286592140325,pos,2,nrt
安卓,30.827137708572817,pos,2,nr
非常,30.784026883778395,pos,2,d
快捷,30.394908202390475,pos,2,a
需求,30.336470090562905,pos,2,v
播放,29.7403234972042,pos,2,v
实用,29.203360023235113,pos,2,v
高清,28.94685477046498,pos,2,nr
每,28.869724616703923,pos,1,zg
G,28.611659882675944,pos,1,x
包括,28.610513800444394,pos,2,v
值得,28.583382104649896,pos,2,v
OPPO,28.543016035192828,pos,4,eng
三星,28.5053988413419,pos,2,nz
不怎么,28.488813230390683,pos,3,l
正好,28.412058835128867,pos,2,a
又,28.214973975953157,pos,1,d
已经,28.07353280754524,pos,2,d
艳丽,28.01184316166939,pos,2,a
时间,27.853966699080637,pos,2,n
稳,27.552825451803137,pos,1,a
播报,27.540167947277347,pos,2,v
网,27.13400282522689,pos,1,n
